method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
BO-UCB,8,11,0.014949711209653629,0.025003447445278795,0.8336496009707434,2.717808751440505,0.02739999999999998,0.0,0.000597789685007899
BO-UCB,8,12,0.012278899918773435,0.019588786334918243,0.8978968549488575,2.2247292512096553,0.007600000000000051,1.0,0.008417369688435539
BO-UCB,8,13,0.0064598971433319965,0.0108159461215931,0.9688718656817341,1.1731415136476635,0.007600000000000051,1.0,0.008416536143401654
BO-UCB,8,14,0.010892109665036656,0.01575947188258469,0.9339143173119709,1.9436287034993973,0.007600000000000051,1.0,0.008416416709035701
BO-UCB,8,15,0.009326517831946315,0.015814804675960237,0.9334494381652195,1.6910761581810592,0.007600000000000051,1.0,0.008416727060746032
BO-UCB,8,16,0.004583425873360772,0.006374847682110652,0.9891865646987819,0.7648015897479644,0.007600000000000051,1.0,0.008416865965321985
BO-UCB,8,17,0.01779985807093104,0.028471830506042094,0.7842976678766624,3.2670255236587473,0.007600000000000051,1.0,0.008416479442494018
BO-UCB,8,18,0.0035303837552557536,0.005292246025720639,0.9925474634911097,0.5742246355755533,0.007600000000000051,1.0,0.01336263687544803
BO-UCB,8,19,0.006205652306355298,0.008753653772783851,0.9796106776555249,1.0741382464609563,0.007600000000000051,1.0,0.013262186898969963
BO-UCB,10,0,0.01893408817616489,0.03253738026537871,0.7182984560534864,3.5305852257607317,0.0,0.0,0.004591785238232671
BO-UCB,10,1,0.018841295929615406,0.032061950386818285,0.7264706478565346,3.4980504657117466,0.0,0.0,0.00037649429339448037
BO-UCB,10,2,0.005130339704989261,0.0067038663635521295,0.9880415536870852,0.873267674834601,0.007600000000000051,1.0,0.008418689472061036
BO-UCB,10,3,0.00890820423016345,0.012780503461786092,0.9565369713678342,1.5753802351827026,0.02739999999999998,0.0,0.0005984763000894677
BO-UCB,10,4,0.015642021371219915,0.02331863654627637,0.8553127147401131,2.779902123808653,0.0,0.0,1.4372765295700418e-06
BO-UCB,10,5,0.014178259847884915,0.0261313743863592,0.8183026615595457,2.6442118700434833,0.02739999999999998,0.0,0.0005981191942078246
BO-UCB,10,6,0.014494241664309147,0.024775087488614764,0.8366743275575834,2.627714684884707,0.0,0.0,0.0001578451464725461
BO-UCB,10,7,0.009191241982806452,0.014558516094924957,0.9436027038425109,1.6405293539102226,0.02739999999999998,0.0,0.0005980987491821521
BO-UCB,10,8,0.005131497041205319,0.007556753242515193,0.9848052155574847,0.8655077980927125,0.007600000000000051,1.0,0.008418080964441188
BO-UCB,10,9,0.012590896608514325,0.023287803995474532,0.8556950809031999,2.310816333901524,0.018299999999999983,0.0,0.0009602376140721569
BO-UCB,10,10,0.014363284492036868,0.019409661819393003,0.8997556282074844,2.4765262056463406,0.02739999999999998,0.0,0.0005993071021560548
BO-UCB,10,11,0.004678935579527889,0.007041573215246395,0.9868063955421648,0.8088074501018829,0.02739999999999998,0.0,0.0005994304307115339
BO-UCB,10,12,0.006759813278054347,0.01199286830721493,0.9617289664594351,1.2081403764618686,0.02739999999999998,0.0,0.0005993266644501727
BO-UCB,10,13,0.005029942810071594,0.008037244678388386,0.9828114816972955,0.8789220777523957,0.02739999999999998,0.0,0.0005981880805983053
BO-UCB,10,14,0.012894972400094736,0.0219128351321046,0.8722322626946333,2.3288382981752664,0.007600000000000051,1.0,0.008418116991342983
BO-UCB,10,15,0.003868962477499834,0.005929878891150667,0.9906434507345142,0.6768618236736372,0.018299999999999983,0.0,0.004685931204749361
BO-UCB,10,16,0.016755935804018615,0.025348530912636266,0.8290261660022269,2.9847688961484318,0.02739999999999998,0.0,0.0005983489716772095
BO-UCB,10,17,0.006803299673653413,0.011390890162582297,0.9654745466716919,1.2307860226121714,0.018299999999999983,0.0,0.0046853804670696775
BO-UCB,10,18,0.012113675599400568,0.015143496597730373,0.9389794117524093,2.0527362049973283,0.0,0.0,2.3821419268266197e-06
BO-UCB,10,19,0.03349164877750285,0.0544600803958874,0.21081173715916224,6.227536965273033,0.02739999999999998,0.0,0.0005976487760187554
BO-UCB,12,0,0.0056372148992630215,0.010394640690887429,0.9712496573586353,1.0273755977268713,0.0,0.0,5.963257332375349e-07
BO-UCB,12,1,0.009224695660538062,0.014814770191346275,0.9415998584939483,1.6265368978376369,0.02739999999999998,0.0,0.0005986518761158521
BO-UCB,12,2,0.01306407237555273,0.02294173554500318,0.8599521003833073,2.435664705190051,0.02739999999999998,0.0,0.0005975153620879636
BO-UCB,12,3,0.012468866658736338,0.01946137920522441,0.8992207107180967,2.239662998966145,0.0,0.0,1.3449814595389853e-06
BO-UCB,12,4,0.004959933729706939,0.007294766708757584,0.9858405339593587,0.8584449982714919,0.0,0.0,1.252354906777775e-06
BO-UCB,12,5,0.006374226053487583,0.008919467224218875,0.978830924624726,1.0824526694964456,0.0,0.0,3.953219558372467e-06
BO-UCB,12,6,0.010119979793632054,0.015621553294094852,0.9350659500238945,1.8213978130084432,0.0,0.0,1.4030595976155524e-06
BO-UCB,12,7,0.008906707529757335,0.014340717269554834,0.9452775152740933,1.597501864615268,0.02739999999999998,0.0,0.0005990386853149676
BO-UCB,12,8,0.005318121187292819,0.007298716388162298,0.9858251968022568,0.929588200123507,0.02739999999999998,0.0,0.0005990581397146144
BO-UCB,12,9,0.016522591276098852,0.02927085825942284,0.7720209315481804,3.0469977181989485,0.0,0.0,8.707611209857191e-07
BO-UCB,12,10,0.009031698768830095,0.01481680236231777,0.9415838356720636,1.624224152747897,0.02739999999999998,0.0,0.0005992320372306681
BO-UCB,12,11,0.0167313590412385,0.02913497166415962,0.7741327514484247,3.0969939695087008,0.0,0.0,6.262781857557798e-07
BO-UCB,12,12,0.007490893312372765,0.011441070208209675,0.9651696881669428,1.3236454040642176,0.02739999999999998,0.0,0.0005993003705124789
